Pond1,Pond2,V1,V2,Resistance,X1,Y1,X2,Y2
NAT-11,31810,49,1385,0.0575555728591715,338428.4688,5027688.5,340070.522061868,5027513.53727098
SWF-1220,31814,40,1388,0.0357830365152332,332384.92576937,5030790.98197647,333943.500021092,5030401.68201999
SWF-1220,31820,40,1389,0.0321592898019779,332384.92576937,5030790.98197647,333795.216093515,5030446.66931447
SWF-1621,31830,5,1390,0.0386596719365373,373231.347809471,5023056.94940913,373959.697439292,5024229.3338702
NAT-10,31842,44,1391,0.0754554897811343,337577.3438,5027708,337471.861810178,5027207.20805148
NAT-2,31842,45,1391,0.0720762757763109,337878.25,5027308.5,337471.861810178,5027207.20805148
NAT-6,31842,46,1391,0.0621961560670398,337405.6563,5026972,337471.861810178,5027207.20805148
NAT-7,31842,47,1391,0.0880941692130065,338364.5,5028036,337471.861810178,5027207.20805148
NAT-9,31842,48,1391,0.0721978442730097,337702.9688,5027617,337471.861810178,5027207.20805148
NAT-11,31842,49,1391,0.0701140681726536,338428.4688,5027688.5,337471.861810178,5027207.20805148
NAT-7,31846,47,1392,0.0788228684146577,338364.5,5028036,340008.469852166,5027210.98632082
NAT-11,31846,49,1392,0.0596991791782916,338428.4688,5027688.5,340008.469852166,5027210.98632082
NAT-11,31848,49,1393,0.0631436609809935,338428.4688,5027688.5,340235.551393818,5027242.28887689
NAT-2,31849,45,1394,0.0839999313760815,337878.25,5027308.5,339859.813856501,5027201.39353619
NAT-7,31849,47,1394,0.0783780095423267,338364.5,5028036,339859.813856501,5027201.39353619
NAT-11,31849,49,1394,0.0589136187174088,338428.4688,5027688.5,339859.813856501,5027201.39353619
NAT-10,31851,44,1395,0.0605288892082618,337577.3438,5027708,337751.666862803,5027244.16867368
NAT-2,31851,45,1395,0.037335155616884,337878.25,5027308.5,337751.666862803,5027244.16867368
NAT-6,31851,46,1395,0.0490564462959075,337405.6563,5026972,337751.666862803,5027244.16867368
NAT-7,31851,47,1395,0.0700490428157658,338364.5,5028036,337751.666862803,5027244.16867368
NAT-9,31851,48,1395,0.0546724075891735,337702.9688,5027617,337751.666862803,5027244.16867368
NAT-11,31851,49,1395,0.0510676817226269,338428.4688,5027688.5,337751.666862803,5027244.16867368
NAT-10,31852,44,1396,0.0811696660927491,337577.3438,5027708,337136.604817546,5027247.70762633
NAT-2,31852,45,1396,0.0819898706406944,337878.25,5027308.5,337136.604817546,5027247.70762633
NAT-6,31852,46,1396,0.0663542002869913,337405.6563,5026972,337136.604817546,5027247.70762633
NAT-7,31852,47,1396,0.0913474342661055,338364.5,5028036,337136.604817546,5027247.70762633
NAT-9,31852,48,1396,0.0798914970251887,337702.9688,5027617,337136.604817546,5027247.70762633
NAT-11,31852,49,1396,0.0736538673396404,338428.4688,5027688.5,337136.604817546,5027247.70762633
NAT-10,31866,44,1398,0.0717574731308985,337577.3438,5027708,337831.8666,5028549.05093333
NAT-2,31866,45,1398,0.0761928757942773,337878.25,5027308.5,337831.8666,5028549.05093333
NAT-6,31866,46,1398,0.0699225155868726,337405.6563,5026972,337831.8666,5028549.05093333
NAT-7,31866,47,1398,0.0653163551697392,338364.5,5028036,337831.8666,5028549.05093333
NAT-9,31866,48,1398,0.0714144936158224,337702.9688,5027617,337831.8666,5028549.05093333
NAT-11,31866,49,1398,0.0532577618602863,338428.4688,5027688.5,337831.8666,5028549.05093333
NAT-10,31875,44,1401,0.0852841717946155,337577.3438,5027708,336497.432043093,5028610.07113144
NAT-2,31875,45,1401,0.0883291713363709,337878.25,5027308.5,336497.432043093,5028610.07113144
NAT-6,31875,46,1401,0.0775054341335221,337405.6563,5026972,336497.432043093,5028610.07113144
NAT-7,31875,47,1401,0.0859002257863637,338364.5,5028036,336497.432043093,5028610.07113144
NAT-9,31875,48,1401,0.0850618037241129,337702.9688,5027617,336497.432043093,5028610.07113144
NAT-10,31879,44,1402,0.0802073418080386,337577.3438,5027708,337666.748448658,5028540.81541818
NAT-2,31879,45,1402,0.0855809349090871,337878.25,5027308.5,337666.748448658,5028540.81541818
