OBJECTID,X,Y,geometry
28287,372443.746,5004231.602,372443.74596513|5004231.60229384
28288,344466.3881,5004228.493,344466.38809104|5004228.4932125
28289,341235.8757,5004348.73,341235.875650872|5004348.73011084
28290,384076.8995,5004335.732,384076.899485|5004335.73190388
28291,384619.0378,5004371.423,384619.037788476|5004371.42308133
28292,372492.1791,5004375.546,372492.179066666|5004375.54576667
28293,357920.8951,5004243.777,357920.895081569|5004243.77689015
28294,357887.6635,5004407.506,357887.6635|5004407.50646667
28295,384476.8558,5004359.596,384476.855750733|5004359.59606032
28296,385526.8423,5006292.037,385526.8423|5006292.03656667
28297,347049.8752,5006327.717,347049.875215753|5006327.7173041
28298,385468.4521,5006315.358,385468.45210123|5006315.35829344
28299,385407.6232,5006324.525,385407.623206586|5006324.52464034
28300,347279.9808,5006342.244,347279.980825603|5006342.24427602
28301,364843.8235,5008719.832,364843.823454666|5008719.83222114
28302,337694.2146,5008723.938,337694.2146|5008723.93776667
28303,348840.374,5008712.785,348840.374023762|5008712.78532626
28304,351477.9507,5008657.491,351477.950709222|5008657.49082497
28305,376168.2572,5008478.366,376168.257161611|5008478.36631686
28306,373712.2079,5008626.466,373712.207855884|5008626.46571048
28307,337641.1473,5008745.773,337641.147269787|5008745.77340047
28308,341341.7211,5006144.359,341341.721085548|5006144.35899799
28309,385656.7663,5006813.857,385656.766312974|5006813.85707306
28310,352765.086,5006713.487,352765.085994895|5006713.48719252
28311,387590.0326,5006744.023,387590.032585086|5006744.02275727
28312,366203.2623,5006806.381,366203.262267981|5006806.38051219
28313,374303.1753,5005887.281,374303.175263897|5005887.28061945
28314,366119.445,5006205.453,366119.444977489|5006205.45322471
28315,347276.5177,5006375.608,347276.517696165|5006375.60812936
28316,368074.1934,5006265.652,368074.193439474|5006265.65228131
28317,364752.0387,5008852.378,364752.038663288|5008852.37787476
28318,374155.2878,5008827.764,374155.287778494|5008827.76416446
28319,387739.3073,5008721.466,387739.307309379|5008721.46638729
28320,342205.9082,5008833.918,342205.908186941|5008833.91778148
28321,362778.7757,5008869.983,362778.775733333|5008869.98333333
28322,374936.951,5008847.206,374936.950972835|5008847.20550473
28323,374700.1999,5008796.07,374700.19988631|5008796.07034644
28324,386280.8427,5008872.293,386280.842664417|5008872.29324244
28325,359146.4194,5000520.485,359146.41941153|5000520.48467186
28326,372472.3457,5000488.656,372472.345670862|5000488.65620341
28327,372551.8924,5000435.095,372551.892414344|5000435.09477062
28328,348235.0951,5000534.037,348235.09509525|5000534.03672518
28329,378358.1123,5000498.919,378358.112276572|5000498.91939254
28330,349815.5666,4997766.395,349815.566564102|4997766.39529069
28331,354593.3612,4998069.034,354593.361233334|4998069.03356667
28332,345316.0983,4998071.3,345316.098312529|4998071.29954524
28333,379569.9546,4998047.033,379569.954647159|4998047.03348636
28334,355127.2615,4997938.001,355127.261507745|4997938.00135024
28335,340031.4235,5008157.255,340031.423532808|5008157.25463235
28336,351824.2988,5000353.981,351824.298825533|5000353.98143157
28337,376328.7889,5000436.783,376328.788873156|5000436.78310538
28338,378883.3131,5000750.509,378883.313110117|5000750.50900588
28339,378355.4128,5000691.452,378355.412790965|5000691.45235092
28340,360696.7741,5000566.396,360696.774079289|5000566.39644518
28341,340599.7421,5003768.401,340599.742053418|5003768.40136314
28342,378275.5575,5003784.864,378275.557453135|5003784.86441432
28343,378499.8306,5003826.37,378499.830609081|5003826.37019892
28344,351980.5744,5003763.144,351980.574373031|5003763.14385001
28345,361002.939,5003835.669,361002.939041362|5003835.6693093
28346,345523.4757,5001478.37,345523.475710903|5001478.36967302
28347,384504.5428,5001525.395,384504.542792218|5001525.3948269
28348,345016.1632,5001684.429,345016.163239338|5001684.42879965
28349,346150.6633,4999834.019,346150.66326686|4999834.01888731
28350,384493.9106,4999937.462,384493.910558378|4999937.46151402
28351,341966.8778,5003816.183,341966.877841401|5003816.18314426
28352,354296.6812,5003572.735,354296.681202737|5003572.73471134
28353,378581.2973,5003871.097,378581.297341694|5003871.09699813
28354,360927.7071,5003882.872,360927.70708744|5003882.87223142
28355,359829.9132,5003757.471,359829.913206194|5003757.47050175
28356,383262.9312,5003910.584,383262.931151855|5003910.58361342
28357,341547.0454,5003772.47,341547.045363986|5003772.47006145
28358,352048.2814,5003929.93,352048.2814|5003929.9297
28359,357870.8558,5003889.14,357870.855792164|5003889.14027024
28360,357779.5271,5003935.717,357779.527128207|5003935.71701769
28361,385247.2203,5003905.275,385247.220333964|5003905.27451894
28362,387136.7978,5003881.544,387136.797812597|5003881.54423961
28363,353555.2326,5006010.717,353555.232562386|5006010.71656993
28364,365847.4826,5006334.922,365847.482613566|5006334.92172436
28365,385441.6934,5006365.765,385441.693437365|5006365.76456423
28366,347326.7163,5006373.335,347326.716333333|5006373.33466667
28367,342804.5004,5004431.649,342804.500446675|5004431.64880357
28368,357907.288,5004545.047,357907.287998788|5004545.04687941
28369,375451.2644,5003478.806,375451.264443315|5003478.8062621
28370,374947.3164,5006119.757,374947.316371294|5006119.75720452
28371,389130.8131,5006400.679,389130.813098301|5006400.67884885
28372,344567.4069,5006084.023,344567.406937106|5006084.0225381
28373,389145.4128,5006435.427,389145.412760004|5006435.42707251
28374,376420.9249,5006355.586,376420.924901273|5006355.58593442
28375,370204.0707,5006336.757,370204.070671677|5006336.75672071
28376,379916.4523,5007995.232,379916.452318486|5007995.23215373
28377,385719.7001,5008285.533,385719.700148724|5008285.53305695
28378,349992.38,5008261.883,349992.380004668|5008261.88311705
28379,379702.0878,5008176.155,379702.087793789|5008176.15461209
28380,336367.6097,5008119.765,336367.609746514|5008119.7647614
28381,366185.6612,5008215.384,366185.661233637|5008215.38416237
