OBJECTID,X,Y,geometry
27485,356897.240536618,4991071.35003236,356897.240536618|4991071.35003236
27575,337721.987979656,5029773.04230236,337721.987979656|5029773.04230236
27578,355584.148122517,4991365.00280522,355584.148122517|4991365.00280522
27650,356508.266593626,4991359.97966551,356508.266593626|4991359.97966551
27651,356167.125347037,4991361.20827628,356167.125347037|4991361.20827628
27655,354021.419279773,4991188.10623164,354021.419279773|4991188.10623164
27657,355785.378818052,4991352.42846604,355785.378818052|4991352.42846604
27662,355539.422789764,4991432.73068071,355539.422789764|4991432.73068071
27663,356295.569697791,4991419.62752241,356295.569697791|4991419.62752241
27699,376278.114640792,5009635.99160139,376278.114640792|5009635.99160139
27763,376512.456957642,5009834.94787745,376512.456957642|5009834.94787745
27766,373803.75010805,5009839.45562119,373803.75010805|5009839.45562119
27904,356181.818551255,4991756.90032572,356181.818551255|4991756.90032572
27915,355251.3023,4991927.50476667,355251.3023|4991927.50476667
27918,377606.061433796,5014592.57317337,377606.061433796|5014592.57317337
28035,375151.533272541,5008685.70868862,375151.533272541|5008685.70868862
28037,374786.299306587,5008821.35324626,374786.299306587|5008821.35324626
28072,346929.162633334,5015318.84403333,346929.162633334|5015318.84403333
28073,376515.650925218,5012911.8363243,376515.650925218|5012911.8363243
28136,349224.211562216,5012592.44470969,349224.211562216|5012592.44470969
28143,348956.004703966,5015416.8016343,348956.004703966|5015416.8016343
28147,348223.518817191,5015441.77113797,348223.518817191|5015441.77113797
28149,376193.641870454,5014833.95477578,376193.641870454|5014833.95477578
28215,375268.537437664,5015433.41476843,375268.537437664|5015433.41476843
28217,348392.525066667,5015608.4652,348392.525066667|5015608.4652
28218,374321.094897176,5015622.01852093,374321.094897176|5015622.01852093
28322,374936.950972835,5008847.20550473,374936.950972835|5008847.20550473
28323,374700.19988631,5008796.07034644,374700.19988631|5008796.07034644
28417,355633.19685556,4989052.37433716,355633.19685556|4989052.37433716
28418,355297.634366695,4989136.19332889,355297.634366695|4989136.19332889
28482,354239.723933641,4989161.03474721,354239.723933641|4989161.03474721
28483,356085.383556532,4989195.13023212,356085.383556532|4989195.13023212
28487,354483.033242328,4990163.81661109,354483.033242328|4990163.81661109
28488,354702.486113809,4990131.17813743,354702.486113809|4990131.17813743
28497,353726.020431039,4990212.15062877,353726.020431039|4990212.15062877
28500,355967.553907304,4990228.36661625,355967.553907304|4990228.36661625
28625,360061.74692912,5018432.56598152,360061.74692912|5018432.56598152
28830,356827.774566667,4991268.1883,356827.774566667|4991268.1883
